TABLE_SCHEMA	TABLE_NAME	ORDINAL_POSITION	COLUMN_NAME	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	NUMERIC_PRECISION	NUMERIC_SCALE	IS_NULLABLE	COLUMN_DEFAULT
dbo	tbUserAuthority	3	AuthorityID	int	NULL	10	0	YES	NULL
dbo	tbUserAuthority	4	AuthorityName	varchar	10	NULL	NULL	YES	NULL
dbo	tbUserAuthority	5	Sort	int	NULL	10	0	YES	NULL
dbo	tbUserRegistration	1	ID	int	NULL	10	0	NO	NULL
dbo	tbUserRegistration	2	UserID	int	NULL	10	0	YES	NULL
dbo	tbUserRegistration	3	username	varchar	50	NULL	NULL	YES	NULL
dbo	tbUserRegistration	4	Password	nvarchar	-1	NULL	NULL	YES	NULL
dbo	tbUserRegistration	5	Fullname	varchar	50	NULL	NULL	YES	NULL
dbo	tbUserRegistration	6	Userlevel	varchar	50	NULL	NULL	YES	NULL
dbo	tbUserRegistration	7	DeptID	int	NULL	10	0	YES	NULL
dbo	tbUserRegistration	8	EmailAdd	nvarchar	-1	NULL	NULL	YES	NULL
dbo	tbUserRegistration	9	EmailPass	nvarchar	-1	NULL	NULL	YES	NULL
dbo	tbUserRegistration	10	EmailTo	varchar	255	NULL	NULL	YES	NULL
dbo	tbUserRegistration	11	EmailBCC	varchar	255	NULL	NULL	YES	NULL
dbo	tbUserRegistration	12	Signature	varbinary	-1	NULL	NULL	YES	NULL
dbo	tbUserRegistration	13	Position	varchar	50	NULL	NULL	YES	NULL
dbo	tbUserRegistration	14	Status	varchar	1	NULL	NULL	YES	NULL
dbo	tbUserRegistration	15	Approver1	varchar	5	NULL	NULL	YES	NULL
dbo	tbUserRegistration	16	Approver2	varchar	5	NULL	NULL	YES	NULL
dbo	tbUserRegistration	17	ReportNumberStatus	int	NULL	10	0	YES	NULL
dbo	tbUserRegistration	18	WorkWithStatus	varchar	1	NULL	NULL	YES	NULL
dbo	tbUserRegistration	19	SuperApprover	varchar	5	NULL	NULL	YES	NULL
